

"Host:","f71b89c3ad7a",,,,"User:","root"
"Cmdline:","/usr/bin/dool --more --output /src/ospf/resource/frr_ospf_resource_1to3_2record.csv 1 60",,,,"Date:","05 Jul 2024 10:05:20 UTC"
"total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"procs",,,"load avg",,,"system"
"usr","sys","idl","wai","stl","read","writ","recv","send","used","free","cach","avai","run","blk","new","1m","5m","15m","time"
12.119,34.967,52.915,0,0,0,2588672,1137601865152,1137607625088,12041289728,489759346688,19988832256,525094002688,59,0,2,31.160,20.160,20.890,Jul-05 10:06:04
12.225,35.053,52.722,0,0,0,4915200,1126433440720,1126432914480,12056711168,489743888384,19988869120,525078573056,63,0,25,31.160,20.160,20.890,Jul-05 10:06:05
11.811,35.172,53.016,0,0,0,2326528,1128094105232,1128096189808,12051046400,489749549056,19988873216,525084123136,60,0,1,33.630,20.850,21.110,Jul-05 10:06:06
12.030,34.869,53.101,0,0,0,1540096,1130764307456,1130762747808,12041953280,489758601216,19988914176,525093212160,61,0,7,33.630,20.850,21.110,Jul-05 10:06:07
11.705,35.210,53.085,0,0,0,2916352,1132106606800,1132100315952,12038443008,489762107392,19988918272,525096734720,56,0,0,33.630,20.850,21.110,Jul-05 10:06:08
12.464,35.106,52.429,0,0,0,1409024,1152999000624,1153002141232,12075241472,489725263872,19988963328,525059932160,60,0,37,33.630,20.850,21.110,Jul-05 10:06:09
12.239,34.844,52.917,0,0,0,4816896,1124865960256,1124870169312,12054872064,489745633280,19988963328,525080309760,62,0,0,33.630,20.850,21.110,Jul-05 10:06:10
12.285,34.682,53.033,0,0,0,3801088,1127908339184,1127906207776,12071628800,489728872448,19988967424,525063548928,59,0,19,36.060,21.570,21.340,Jul-05 10:06:11
11.970,34.948,53.082,0,0,0,0,1136204774848,1136203237072,12055715840,489744752640,19989000192,525079461888,62,0,0,36.060,21.570,21.340,Jul-05 10:06:12
12.320,34.737,52.943,0,0,0,2129920,1158907249984,1158909855120,12077682688,489722748928,19989037056,525057490944,62,0,0,36.060,21.570,21.340,Jul-05 10:06:13
12.212,35.168,52.621,0,0,0,2293760,1186149673136,1186151787600,12044922880,489755508736,19989037056,525090250752,58,0,2,36.060,21.570,21.340,Jul-05 10:06:14
12.258,35.127,52.615,0,0,0,2818048,1175678054752,1175676986752,12050313216,489750085632,19989069824,525084860416,57,0,56,36.060,21.570,21.340,Jul-05 10:06:15
12.131,35.083,52.787,0,0,0,2424832,1149097189696,1149091949200,12040355840,489760043008,19989069824,525094821888,59,0,0,36.060,21.570,21.340,Jul-05 10:06:16
12.253,34.884,52.863,0,0,0,1409024,1165837607664,1165840768272,12091662336,489708707840,19989098496,525042827264,61,0,56,38.060,22.220,21.560,Jul-05 10:06:17
11.929,35.366,52.705,0,0,0,2981888,1205465861120,1205465329920,12060647424,489739714560,19989106688,525074534400,61,0,0,38.060,22.220,21.560,Jul-05 10:06:18
12.382,35.290,52.328,0,0,0,3735552,1223940287488,1223941840432,12071510016,489728831488,19989127168,525063675904,59,0,37,38.060,22.220,21.560,Jul-05 10:06:19
