Connecting to host 192.168.2.5, port 5201
[  5] local 192.168.1.2 port 41848 connected to 192.168.2.5 port 5201
[ 21]   5.00-6.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 23]   5.00-6.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 25]   5.00-6.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 27]   5.00-6.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 29]   5.00-6.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 31]   5.00-6.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 33]   5.00-6.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 35]   5.00-6.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 37]   5.00-6.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 39]   5.00-6.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 41]   5.00-6.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 43]   5.00-6.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[SUM]   5.00-6.00   sec  8.94 GBytes  76.7 Gbits/sec    0             
- - - - - - - - - - - - - - - - - - - - - - - - -
[  5]   6.00-7.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[  7]   6.00-7.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[  9]   6.00-7.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 11]   6.00-7.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 13]   6.00-7.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 15]   6.00-7.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 17]   6.00-7.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 19]   6.00-7.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 21]   6.00-7.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 23]   6.00-7.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 25]   6.00-7.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 27]   6.00-7.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 29]   6.00-7.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 31]   6.00-7.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 33]   6.00-7.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 35]   6.00-7.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 37]   6.00-7.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 39]   6.00-7.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 41]   6.00-7.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 43]   6.00-7.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[SUM]   6.00-7.00   sec  8.94 GBytes  76.7 Gbits/sec    0             
- - - - - - - - - - - - - - - - - - - - - - - - -
[  5]   7.00-8.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[  7]   7.00-8.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[  9]   7.00-8.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 11]   7.00-8.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 13]   7.00-8.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 15]   7.00-8.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 17]   7.00-8.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 19]   7.00-8.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 21]   7.00-8.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 23]   7.00-8.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 25]   7.00-8.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 27]   7.00-8.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 29]   7.00-8.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 31]   7.00-8.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 33]   7.00-8.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 35]   7.00-8.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 37]   7.00-8.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 39]   7.00-8.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 41]   7.00-8.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 43]   7.00-8.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[SUM]   7.00-8.00   sec  8.94 GBytes  76.8 Gbits/sec    0             
- - - - - - - - - - - - - - - - - - - - - - - - -
[  5]   8.00-9.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[  7]   8.00-9.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[  9]   8.00-9.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 11]   8.00-9.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 13]   8.00-9.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 15]   8.00-9.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 17]   8.00-9.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 19]   8.00-9.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 21]   8.00-9.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 23]   8.00-9.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 25]   8.00-9.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 27]   8.00-9.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 29]   8.00-9.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 31]   8.00-9.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 33]   8.00-9.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 35]   8.00-9.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 37]   8.00-9.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 39]   8.00-9.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 41]   8.00-9.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 43]   8.00-9.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[SUM]   8.00-9.00   sec  8.96 GBytes  77.0 Gbits/sec    0             
- - - - - - - - - - - - - - - - - - - - - - - - -
[  5]   9.00-10.00  sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[  7]   9.00-10.00  sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[  9]   9.00-10.00  sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 11]   9.00-10.00  sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 13]   9.00-10.00  sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 15]   9.00-10.00  sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
